elapsed, window, total, successful, failed
10, 10, 3136, 3136, 0
20, 10, 3433, 3433, 0
30, 10, 3406, 3406, 0
40, 10, 3225, 3225, 0
50, 10, 3392, 3392, 0
60, 10, 3374, 3374, 0
70, 10, 3430, 3430, 0
80, 10, 3317, 3317, 0
90, 10, 3329, 3329, 0
100, 10, 3380, 3380, 0
110, 10, 3456, 3456, 0
120, 10, 3327, 3327, 0
130, 10, 3328, 3328, 0
140, 10, 3378, 3378, 0
150, 10, 3263, 3263, 0
160, 10, 3293, 3293, 0
170, 10, 3479, 3479, 0
180, 10, 3213, 3210, 3
190, 10, 3348, 3348, 0
200, 10, 3405, 3405, 0
210, 10, 3250, 3250, 0
220, 10, 3355, 3355, 0
230, 10, 3350, 3350, 0
240, 10, 3372, 3372, 0
250, 10, 3282, 3282, 0
260, 10, 3192, 3192, 0
270, 10, 3262, 3262, 0
280, 10, 3487, 3487, 0
290, 10, 3335, 3335, 0
300, 10, 3383, 3383, 0
310, 10, 3282, 3282, 0
320, 10, 3323, 3323, 0
330, 10, 3361, 3361, 0
340, 10, 3203, 3203, 0
350, 10, 3342, 3342, 0
360, 10, 3270, 3270, 0
370, 10, 3425, 3425, 0
380, 10, 3426, 3426, 0
390, 10, 3290, 3290, 0
400, 10, 3296, 3296, 0
410, 10, 3382, 3382, 0
420, 10, 3334, 3334, 0
430, 10, 3321, 3321, 0
440, 10, 3282, 3282, 0
450, 10, 3333, 3333, 0
460, 10, 3410, 3410, 0
470, 10, 3450, 3450, 0
480, 10, 3372, 3372, 0
490, 10, 3330, 3330, 0
500, 10, 3356, 3356, 0
510, 10, 3345, 3345, 0
520, 10, 3337, 3337, 0
530, 10, 3343, 3343, 0
540, 10, 3389, 3389, 0
550, 10, 3287, 3287, 0
560, 10, 3272, 3272, 0
570, 10, 3328, 3328, 0
580, 10, 3356, 3356, 0
590, 10, 3241, 3241, 0
600, 10, 3352, 3352, 0
601, 1, 270, 270, 0
